match_id,team1,team2,team1_score,team2_score,winner,status,event,tournament
543172,SaD Esports,Burger Boyz,2,1,,Completed,Promotion/Relegation–Round 3,Challengers 2025: North America ACE Stage 3
532276,E-Xolos LAZER,Six Karma,1,3,,Completed,Main Event–Elimination,Challengers 2025: Latin America Finals
535402,Twisted Minds,ULF Esports,1,2,,Completed,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3
535401,Mandatory,DNSTY,1,2,,Completed,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3
521249,NAOS,FULL SENSE,1,3,,Completed,Playoffs–Lower Final,Challengers 2025: Southeast Asia Split 3
538576,FunPlus Phoenix,Wolves Esports,0,3,,Completed,Main Event–Consolation Final,China Evolution Series: Act 3
528187,FEARX,SLT Seongnam,1,3,,Completed,Main Event–Grand Final,Challengers 2025: Korea WDG Road to Ascension
531688,Team Solid,RED Canids,1,2,,Completed,Main Event–Upper Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
543171,SaD Esports,Prosperity Esports,2,1,,Completed,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3
532274,ShindeN,Six Karma,2,0,,Completed,Main Event–Opening,Challengers 2025: Latin America Finals
531689,Los Grandes,Corinthians Esports,2,0,,Completed,Main Event–Lower Round 1,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
543170,Shopify Rebellion Gold,Burger Boyz,1,2,,Completed,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3
532273,E-Xolos LAZER,9z Team,1,2,,Completed,Main Event–Opening,Challengers 2025: Latin America Finals
538442,ULF Esports,děti ulice,2,1,,Completed,Group Stage–Day 5,Challengers 2025: EMEA Stage 3
521246,Motiv Esports,NAOS,2,0,,Completed,Playoffs–Upper Final,Challengers 2025: Southeast Asia Split 3
538441,BOARS,Twisted Minds,0,2,,Completed,Group Stage–Day 5,Challengers 2025: EMEA Stage 3
538574,JDG Esports,Wolves Esports,2,1,,Completed,Main Event–Semifinals,China Evolution Series: Act 3
521248,FULL SENSE,Team NKT,2,1,,Completed,Playoffs–Lower Round 1,Challengers 2025: Southeast Asia Split 3
538573,Titan Esports Club,FunPlus Phoenix,2,1,,Completed,Main Event–Semifinals,China Evolution Series: Act 3
543169,SaD Esports,Shopify Rebellion Gold,2,1,,Completed,Promotion/Relegation–Round 1,Challengers 2025: North America ACE Stage 3
531687,Corinthians Esports,RED Canids,0,2,,Completed,Main Event–Upper Semifinals,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
524957,MYVRA GC,Contra GC,3,1,,Completed,North–Lower Final,Game Changers 2025: LATAM Main Event
531686,Los Grandes,Team Solid,1,2,,Completed,Main Event–Upper Semifinals,Challengers 2025: Brazil Gamers Club Last Chance Qualifier
543168,Burger Boyz,Prosperity Esports,2,1,,Completed,Promotion/Relegation–Round 1,Challengers 2025: North America ACE Stage 3
538440,ULF Esports,The Ultimates,2,0,,Completed,Group Stage–Day 4,Challengers 2025: EMEA Stage 3
538438,BOARS,KOI Fénix,2,1,,Completed,Group Stage–Day 4,Challengers 2025: EMEA Stage 3
538437,MOUZ,Twisted Minds,1,2,,Completed,Group Stage–Day 4,Challengers 2025: EMEA Stage 3
538439,Joblife,děti ulice,2,0,,Completed,Group Stage–Day 4,Challengers 2025: EMEA Stage 3
532795,ENVY,TSM,1,3,,Completed,Playoffs–Grand Final,Challengers 2025: North America ACE Stage 3
524947,KRÜ BLAZE,Zen eSports GC,3,1,,Completed,South–Lower Final,Game Changers 2025: LATAM Main Event
538432,MOUZ,KOI Fénix,2,0,,Completed,Group Stage–Day 3,Challengers 2025: EMEA Stage 3
538434,Mandatory,Enterprise Esports,1,2,,Completed,Group Stage–Day 3,Challengers 2025: EMEA Stage 3
538430,Team Liquid Academy,DNSTY,0,2,,Completed,Group Stage–Day 3,Challengers 2025: EMEA Stage 3
538431,Joblife,The Ultimates,2,0,,Completed,Group Stage–Day 3,Challengers 2025: EMEA Stage 3
524956,FUSION X,Contra GC,1,2,,Completed,North–Lower Round 1,Game Changers 2025: LATAM Main Event
524953,Akave Esports GC,MYVRA GC,2,1,,Completed,North–Upper Final,Game Changers 2025: LATAM Main Event
532801,QoR,TSM,2,3,,Completed,Playoffs–Lower Final,Challengers 2025: North America ACE Stage 3
538428,BOARS,MOUZ,0,2,,Completed,Group Stage–Day 2,Challengers 2025: EMEA Stage 3
538427,Joblife,ULF Esports,1,2,,Completed,Group Stage–Day 2,Challengers 2025: EMEA Stage 3
538426,DNSTY,Eintracht Frankfurt,2,1,,Completed,Group Stage–Day 2,Challengers 2025: EMEA Stage 3
538429,Enterprise Esports,BBL PCIFIC,0,2,,Completed,Group Stage–Day 2,Challengers 2025: EMEA Stage 3
524946,Zen eSports GC,University War GC,2,0,,Completed,South–Lower Round 1,Game Changers 2025: LATAM Main Event
532794,ENVY,QoR,2,0,,Completed,Playoffs–Upper Final,Challengers 2025: North America ACE Stage 3
532800,TSM,Cubert Academy,2,0,,Completed,Playoffs–Lower Round 3,Challengers 2025: North America ACE Stage 3
524941,LEVIATÁN GC,KRÜ BLAZE,2,1,,Completed,South–Upper Final,Game Changers 2025: LATAM Main Event
538424,The Ultimates,děti ulice,2,0,,Completed,Group Stage–Day 1,Challengers 2025: EMEA Stage 3
538423,Mandatory,BBL PCIFIC,2,0,,Completed,Group Stage–Day 1,Challengers 2025: EMEA Stage 3
538422,Team Liquid Academy,Eintracht Frankfurt,2,0,,Completed,Group Stage–Day 1,Challengers 2025: EMEA Stage 3
538425,KOI Fénix,Twisted Minds,0,2,,Completed,Group Stage–Day 1,Challengers 2025: EMEA Stage 3
530913,G2 Esports,NRG,3,0,,Completed,Playoffs–Grand Final,VCT 2025: Americas Stage 2
530935,Team Liquid,GIANTX,3,0,,Completed,Playoffs–Grand Final,VCT 2025: EMEA Stage 2
538583,Team France,Team EMEA,7,13,,Completed,Showmatch–Main Event,VCT 2025: EMEA Stage 2
538572,All Gamers,Wolves Esports,1,2,,Completed,Main Event–Quarterfinals,China Evolution Series: Act 3
538571,Trace Esports,JDG Esports,1,2,,Completed,Main Event–Quarterfinals,China Evolution Series: Act 3
530365,Paper Rex,Rex Regum Qeon,3,1,,Completed,Playoffs–Grand Final,VCT 2025: Pacific Stage 2
530912,Sentinels,NRG,1,3,,Completed,Playoffs–Lower Final,VCT 2025: Americas Stage 2
536985,Team Alpha,Team Omega,13,4,,Completed,Showmatch–Override,VCT 2025: Americas Stage 2
530934,BBL Esports,GIANTX,0,3,,Completed,Playoffs–Lower Final,VCT 2025: EMEA Stage 2
538570,FunPlus Phoenix,Nova Esports,2,1,,Completed,Main Event–Quarterfinals,China Evolution Series: Act 3
